184,Eric,50000,60
260,Tadd,50000,60
292,Christiano,50000,60
305,Jacinda,50000,60
329,Urbano,50000,60
361,Sinclair,50000,60
639,Marylee,50000,60
677,Galen,50000,60
679,Tomi,50000,60
690,Krystyna,50000,60
786,Edan,50000,60
801,Janine,50000,60
830,Cale,50000,60
845,Yardley,50000,60
993,Angelia,50000,60
184,Eric,50000,60
260,Tadd,50000,60
292,Christiano,50000,60
305,Jacinda,50000,60
329,Urbano,50000,60
361,Sinclair,50000,60
639,Marylee,50000,60
677,Galen,50000,60
679,Tomi,50000,60
690,Krystyna,50000,60
786,Edan,50000,60
801,Janine,50000,60
830,Cale,50000,60
845,Yardley,50000,60
993,Angelia,50000,60
158,Clarie,42000,60
158,Clarie,42000,60
212,Thomasina,42000,60
295,Catriona,42000,60
295,Catriona,42000,60
684,Sly,42000,60
369,Deni,42000,60
374,Dalis,42000,60
212,Thomasina,42000,60
791,Ki,42000,60
369,Deni,42000,60
684,Sly,42000,60
374,Dalis,42000,60
791,Ki,42000,60
905,Freda,42000,60
905,Freda,42000,60
461,Anthia,37000,60
481,Lionello,37000,60
499,Bibbie,37000,60
285,Bartel,37000,60
620,Lissy,37000,60
831,Christina,37000,60
461,Anthia,37000,60
848,Rasia,37000,60
620,Lissy,37000,60
181,Guillaume,37000,60
860,Fair,37000,60
481,Lionello,37000,60
499,Bibbie,37000,60
181,Guillaume,37000,60
272,Duncan,37000,60
285,Bartel,37000,60
772,Alica,37000,60
272,Duncan,37000,60
17,Ernesta,37000,60
831,Christina,37000,60
848,Rasia,37000,60
860,Fair,37000,60
17,Ernesta,37000,60
772,Alica,37000,60
230,Liana,33000,60
731,Cassandry,33000,60
642,Elinor,33000,60
230,Liana,33000,60
984,Pebrook,33000,60
771,Portia,33000,60
7,Kimberlee,33000,60
477,Mariele,33000,60
784,Marianne,33000,60
328,Matias,33000,60
731,Cassandry,33000,60
771,Portia,33000,60
784,Marianne,33000,60
642,Elinor,33000,60
7,Kimberlee,33000,60
207,Maddie,33000,60
165,Sib,33000,60
871,Phelia,33000,60
477,Mariele,33000,60
328,Matias,33000,60
871,Phelia,33000,60
165,Sib,33000,60
984,Pebrook,33000,60
207,Maddie,33000,60
685,Yul,30000,60
685,Yul,30000,60
174,Prentiss,30000,60
132,Dante,30000,60
411,Frayda,30000,60
174,Prentiss,30000,60
88,George,30000,60
88,George,30000,60
650,Hugo,30000,60
337,Lira,30000,60
132,Dante,30000,60
650,Hugo,30000,60
411,Frayda,30000,60
337,Lira,30000,60
400,Prince,25000,60
628,Maddy,25000,60
467,Svend,25000,60
877,Mac,25000,60
638,Merissa,25000,60
644,Malachi,25000,60
467,Svend,25000,60
290,Gordon,25000,60
665,Wheeler,25000,60
669,Beverlee,25000,60
836,Keene,25000,60
924,Orlan,25000,60
170,Devi,25000,60
877,Mac,25000,60
683,Jaquenette,25000,60
290,Gordon,25000,60
143,Jenna,25000,60
143,Jenna,25000,60
154,Bertine,25000,60
400,Prince,25000,60
628,Maddy,25000,60
924,Orlan,25000,60
638,Merissa,25000,60
170,Devi,25000,60
644,Malachi,25000,60
989,Wandie,25000,60
836,Keene,25000,60
665,Wheeler,25000,60
669,Beverlee,25000,60
154,Bertine,25000,60
989,Wandie,25000,60
683,Jaquenette,25000,60
440,Garold,20000,60
14,Bronnie,20000,60
459,Karen,20000,60
459,Karen,20000,60
929,Melody,20000,60
506,Lothaire,20000,60
511,Markos,20000,60
395,Livy,20000,60
597,Isabelle,20000,60
1000,Saleem,20000,60
597,Isabelle,20000,60
201,Odey,20000,60
614,Fredia,20000,60
417,Sibley,20000,60
14,Bronnie,20000,60
614,Fredia,20000,60
506,Lothaire,20000,60
929,Melody,20000,60
511,Markos,20000,60
201,Odey,20000,60
395,Livy,20000,60
440,Garold,20000,60
417,Sibley,20000,60
1000,Saleem,20000,60
168,Lodovico,18000,60
437,Any,18000,60
448,Lenora,18000,60
811,Susi,18000,60
637,Rosalia,18000,60
271,Larina,18000,60
865,Devonna,18000,60
866,Rubi,18000,60
865,Devonna,18000,60
866,Rubi,18000,60
141,Coreen,18000,60
637,Rosalia,18000,60
124,Pen,18000,60
168,Lodovico,18000,60
124,Pen,18000,60
141,Coreen,18000,60
437,Any,18000,60
271,Larina,18000,60
811,Susi,18000,60
448,Lenora,18000,60
91,Sully,15000,60
795,Lorianna,15000,60
275,Charmian,15000,60
812,Maxy,15000,60
469,Chrisy,15000,60
121,Patrizio,15000,60
875,Saw,15000,60
275,Charmian,15000,60
167,Didi,15000,60
841,Shelley,15000,60
999,Tamarra,15000,60
795,Lorianna,15000,60
146,Armand,15000,60
469,Chrisy,15000,60
91,Sully,15000,60
875,Saw,15000,60
167,Didi,15000,60
812,Maxy,15000,60
503,Patton,15000,60
121,Patrizio,15000,60
146,Armand,15000,60
503,Patton,15000,60
841,Shelley,15000,60
999,Tamarra,15000,60
199,Eliot,12000,60
309,Ernestus,12000,60
814,Obadiah,12000,60
118,Stu,12000,60
342,Floria,12000,60
215,Nita,12000,60
342,Floria,12000,60
410,Fidelia,12000,60
814,Obadiah,12000,60
118,Stu,12000,60
127,Cindelyn,12000,60
127,Cindelyn,12000,60
917,Luis,12000,60
705,Ariella,12000,60
157,Maryjo,12000,60
917,Luis,12000,60
157,Maryjo,12000,60
410,Fidelia,12000,60
199,Eliot,12000,60
783,Crosby,12000,60
705,Ariella,12000,60
962,Burty,12000,60
215,Nita,12000,60
962,Burty,12000,60
309,Ernestus,12000,60
783,Crosby,12000,60
835,Adelle,10000,60
284,Sidonia,10000,60
892,Devland,10000,60
980,Brana,10000,60
435,Wesley,10000,60
913,Anetta,10000,60
229,Tabina,10000,60
892,Devland,10000,60
835,Adelle,10000,60
393,Barret,10000,60
645,Sarajane,10000,60
913,Anetta,10000,60
229,Tabina,10000,60
474,Salomi,10000,60
435,Wesley,10000,60
474,Salomi,10000,60
284,Sidonia,10000,60
645,Sarajane,10000,60
